Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
dragonchain,N/A,,0,0,0,0
wiki,N/A,,0,0,0,0
cloudflare-tunnel-ingress-controller,True,create::deployments::apps::whole; get::secrets::::whole; list::secrets::::whole; update::deployments::apps::whole; watch::secrets::::whole,3,0,6,0
aws-otel-community,N/A,,0,0,0,0
bk-cmdb,N/A,,0,0,0,0
kube-linstor,N/A,,0,0,0,0
iris,N/A,,0,0,0,0
vscode-mermaid-syntax-highlight,N/A,,0,0,0,0
lumigator,N/A,,0,0,0,0
FeatureProbe,N/A,,0,0,0,0
datahub-helm,N/A,,0,0,0,0
opik,N/A,,0,0,0,0
binderhub,True,create::pods::core::whole; get::secrets::core::whole; list::secrets::core::whole; patch::nodes::::whole; watch::secrets::core::whole,3,0,2,1
botkube,True,get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::deployments::apps::whole; watch::secrets::::whole; watch::secrets::core::whole,6,0,1,0
acs-deployment,N/A,,0,0,0,0
stock-analysis-engine,N/A,,0,0,0,0
clickhouse-sink-connector,True,create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::deployments::apps::specific; patch::pods::::whole; patch::replicasets::apps::whole; patch::statefulsets::apps::whole; update::deployments::apps::specific; update::pods::::whole; update::replicasets::apps::whole; update::statefulsets::apps::whole,2,0,7,0
from-monolith-to-k8s,True,create::deployments::apps::whole; patch::deployments::apps::whole; update::deployments::apps::whole,0,0,6,0
dgiot,N/A,,0,0,0,0
kubeflow-chart,True,*::deployments::apps::whole; *::pods::::whole; *::statefulsets::apps::whole; create::deployments::*::whole; create::deployments::apps::whole; create::pods::::whole; get::secrets::::whole; list::secrets::::whole; patch::deployments::*::whole; patch::deployments::apps::whole; patch::pods::::whole; patch::secrets::::whole; update::deployments::*::whole; update::deployments::apps::whole; update::pods::::whole; update::secrets::::whole; watch::secrets::::whole,49,20,70,0
enroute,True,list::secrets::::whole; watch::secrets::::whole,2,0,0,0
dataflux-func,N/A,,0,0,0,0
kminion,N/A,,0,0,0,0
group-sync-operator,True,get::secrets::::whole,3,0,0,0
cloud-provider-openstack,True,*::nodes::::whole; get::secrets::::whole; list::secrets::::whole; update::nodes::::whole; watch::secrets::::whole,10,0,0,4
helm-charts,N/A,,0,0,0,0
microservices-demo,N/A,,0,0,0,0
openstack-helm,True,create::pods::core::whole; get::secrets::::whole; get::secrets::core::whole; list::*::*::whole; list::secrets::::whole; list::secrets::core::whole; patch::nodes::::whole; patch::pods::core::whole; patch::secrets::core::whole; update::pods::core::whole; update::secrets::core::whole; watch::*::*::whole,27,21,6,2
ecamp3,N/A,,0,0,0,0
shortlink,True,create::daemonsets::apps::whole; create::daemonsets::policy::whole; create::deployments::apps::whole; create::deployments::policy::whole; create::jobs::::whole; create::jobs::batch::whole; create::pods::*::whole; create::replicasets::apps::whole; create::replicasets::policy::whole; create::statefulsets::*::whole; create::statefulsets::apps::whole; create::statefulsets::policy::whole; get::secrets::*::whole; get::secrets::::whole; list::secrets::*::whole; list::secrets::::whole; patch::deployments::apps::whole; patch::jobs::::whole; patch::jobs::batch::whole; patch::pods::*::whole; patch::secrets::*::whole; patch::secrets::::whole; patch::statefulsets::*::whole; update::daemonsets::apps::whole; update::daemonsets::policy::whole; update::deployments::apps::whole; update::deployments::policy::whole; update::jobs::::whole; update::jobs::batch::whole; update::pods::*::whole; update::replicasets::apps::whole; update::replicasets::policy::whole; update::secrets::*::whole; update::secrets::::whole; update::statefulsets::*::whole; update::statefulsets::apps::whole; update::statefulsets::policy::whole; watch::secrets::*::whole; watch::secrets::::whole,10,7,41,0
secureCodeBox,True,create::jobs::batch::whole; patch::jobs::batch::whole; update::jobs::batch::whole,0,0,3,0
